Season,Name,Age,Born,Flag,B,T,Ht,Wt,DoB,Yrs,GP,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,All-Star,HOF
1965,Dave Adlesh,21,US,,R,R,"6' 0""",187,"Jul 15, 1943",3,15,10,15,13,0,13,0,0,0,0,0,0,0,0,-,3,0,-0.2,No,No
1965,Don Arlich,22,US,,L,L,"6' 2""",185,"Feb 15, 1943",1st,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-,0,0,0.1,No,No
1965,Bob Aspromonte,27,US,,R,R,"6' 2""",170,"Jun 19, 1938",7,152,151,152,152,0,0,6,0,147,4,0,0,0,0,-,1,0,0.8,No,No
1965,John Bateman,24,US,,R,R,"6' 3""",210,"Jul 21, 1940",3,45,38,45,39,0,39,0,0,0,0,0,0,0,0,-,6,0,0.3,No,No
1965,Jim Beauchamp,25,US,,R,R,"6' 2""",190,"Aug 21, 1939",3,24,12,24,12,0,0,3,0,0,0,9,0,0,9,-,12,0,-0.2,No,No
1965,Walt Bond,27,US,,L,R,"6' 7""",228,"Oct 19, 1937",5,117,104,117,107,0,0,74,0,0,0,18,0,21,38,-,11,0,-0.1,No,No
1965,Ron Brand,25,US,,R,R,"5' 7""",167,"Jan 13, 1940",2,117,104,117,112,0,102,0,0,6,0,5,0,0,5,-,7,4,-0.8,No,No
1965,Bob Bruce,32,US,,R,R,"6' 3""",200,"May 16, 1933",7,35,34,35,35,35,0,0,0,0,0,0,0,0,0,-,0,0,2.3,No,No
1965,Danny Coombs,23,US,,R,L,"6' 4""",200,"Mar 23, 1942",3,26,3,26,26,26,0,0,0,0,0,0,0,0,0,-,0,0,0,No,No
1965,Mike Cuellar,28,CU,,L,L,"6' 0""",165,"May 8, 1937",3,25,4,25,25,25,0,0,0,0,0,0,0,0,0,-,0,0,0.6,No,No
1965,Larry Dierker,18,US,,R,R,"6' 4""",215,"Sep 22, 1946",2,26,19,26,26,26,0,0,0,0,0,0,0,0,0,-,0,0,1,No,No
